date,Forecast
2024-03-01,140.77133
2024-03-04,141.83636
2024-03-05,142.74832
2024-03-06,143.68272
2024-03-07,144.5996
2024-03-08,145.50374
2024-03-11,146.38942
2024-03-12,147.25711
2024-03-13,148.10616
2024-03-14,148.93617
2024-03-15,149.74673
2024-03-18,150.53743
2024-03-19,151.30797
2024-03-20,152.05807
2024-03-21,152.78758
2024-03-22,153.4963
2024-03-25,154.18423
2024-03-26,154.8513
2024-03-27,155.49756
2024-03-28,156.12308
2024-03-29,156.72797
2024-04-01,157.31245
2024-04-02,157.87672
2024-04-03,158.42104
2024-04-04,158.94566
2024-04-05,159.45093
2024-04-08,159.9372
2024-04-09,160.40485
2024-04-10,160.85428
2024-04-11,161.2859
2024-04-12,161.70016
2024-04-15,162.09752
2024-04-16,162.4784
2024-04-17,162.8433
2024-04-18,163.19272
2024-04-19,163.52707
2024-04-22,163.8469
2024-04-23,164.15265
2024-04-24,164.44481
2024-04-25,164.72385
2024-04-26,164.99023
2024-04-29,165.24446
2024-04-30,165.48695
2024-05-01,165.7182
2024-05-02,165.93864
2024-05-03,166.14868
2024-05-06,166.34874
2024-05-07,166.53928
2024-05-08,166.72064
2024-05-09,166.89323
2024-05-10,167.05743
2024-05-13,167.21362
2024-05-14,167.36217
2024-05-15,167.50336
2024-05-16,167.63756
2024-05-17,167.7651
2024-05-20,167.88628
2024-05-21,168.00139
2024-05-22,168.11072
2024-05-23,168.21452
2024-05-24,168.31306
2024-05-27,168.4066
2024-05-28,168.4954
