Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
1,2.352157006,0.125109788,2.349096958,0.125355606,127,271.9013885,1.44E-12,264.5475985,1.05E-11
2,2.499779378,0.286536403,2.496463263,0.287011891,128,274.8215891,9.62E-13,267.3031737,7.36E-12
3,7.736350795,0.051786684,7.721680449,0.052127939,129,281.0644217,2.56E-13,273.1913615,2.21E-12
4,8.5324008,0.073911172,8.515659205,0.074413992,130,281.1281016,3.75E-13,273.2513962,3.19E-12
5,11.01617909,0.051060142,10.99189784,0.051540862,131,281.2371081,5.39E-13,273.3541156,4.54E-12
6,16.27747008,0.012339674,16.2349363,0.012547006,132,281.3105194,7.81E-13,273.4232611,6.50E-12
7,16.4673953,0.02117288,16.42412027,0.021511758,133,281.7550342,1.02E-12,273.8417527,8.45E-12
8,18.45293751,0.018075611,18.40105215,0.01841272,134,283.7745902,8.68E-13,275.7422022,7.42E-12
9,25.96440396,0.002070565,25.87668767,0.002140068,135,283.8363131,1.25E-12,275.8002581,1.06E-11
10,26.46273501,0.003165235,26.3724255,0.003270299,136,285.4153447,1.20E-12,277.2847944,1.03E-11
11,27.15349824,0.004356081,27.05929457,0.004501395,137,289.6771081,5.59E-13,281.2896692,5.23E-12
12,28.69034671,0.00437893,28.58681265,0.004535862,138,290.6919093,6.24E-13,282.2428606,5.89E-12
13,29.32865424,0.005877995,29.22096813,0.006089362,139,292.095042,6.27E-13,283.5601989,6.02E-12
14,29.64135097,0.008548008,29.53149524,0.008848783,140,293.8450017,5.74E-13,285.2023988,5.65E-12
15,40.0833907,0.000440536,39.8965555,0.000470092,141,300.4314063,1.43E-13,291.3803663,1.61E-12
16,43.2724421,0.000254231,43.06071404,0.000273627,142,300.4470108,2.09E-13,291.3949963,2.33E-12
17,44.4146125,0.00029745,44.19347367,0.000320711,143,300.7595961,2.82E-13,291.6879265,3.11E-12
18,51.53756282,4.40E-05,51.25464645,4.87E-05,144,304.7018746,1.43E-13,295.3806071,1.71E-12
19,55.18947215,2.17E-05,54.87329901,2.43E-05,145,304.7053816,2.09E-13,295.3838905,2.47E-12
20,56.1733529,2.74E-05,55.84779322,3.06E-05,146,305.1675549,2.70E-13,295.8164014,3.17E-12
21,56.19270439,4.73E-05,55.8669517,5.28E-05,147,306.6358754,2.67E-13,297.1898477,3.19E-12
22,62.34810388,9.98E-06,61.95828805,1.14E-05,148,306.8668349,3.65E-13,297.4057838,4.33E-12
23,62.82707828,1.48E-05,62.43206976,1.69E-05,149,306.894429,5.26E-13,297.431571,6.14E-12
24,62.98737028,2.39E-05,62.59055448,2.73E-05,150,306.8989354,7.60E-13,297.4357804,8.74E-12
25,65.78444804,1.59E-05,65.35488241,1.84E-05,151,310.7977125,3.95E-13,301.0758789,4.92E-12
26,65.81990358,2.64E-05,65.38990744,3.04E-05,152,310.8599552,5.62E-13,301.1339649,6.90E-12
27,65.83953748,4.31E-05,65.40929442,4.94E-05,153,311.2573779,7.30E-13,301.5046744,8.91E-12
28,65.92942787,6.75E-05,65.49801538,7.72E-05,154,314.7486017,4.23E-13,304.7597183,5.55E-12
29,66.99054999,7.74E-05,66.54487264,8.87E-05,155,315.4619614,5.06E-13,305.4245101,6.65E-12
30,75.81168988,7.76E-06,75.24360295,9.32E-06,156,315.8748907,6.54E-13,305.8091469,8.54E-12
31,80.42653641,2.88E-06,79.79240875,3.54E-06,157,321.3386504,2.27E-13,310.8961772,3.35E-12
32,80.4274259,4.77E-06,79.79328512,5.84E-06,158,321.4737179,3.16E-13,311.0218732,4.60E-12
33,81.50368141,5.52E-06,80.85320544,6.79E-06,159,321.7952971,4.18E-13,311.3210004,6.04E-12
34,81.76509859,8.22E-06,81.11054152,1.01E-05,160,323.6249662,3.73E-13,313.0221325,5.56E-12
35,89.21471947,1.27E-06,88.4406325,1.62E-06,161,323.6878625,5.26E-13,313.0805829,7.73E-12
36,89.45775943,1.92E-06,88.67966745,2.45E-06,162,324.5682034,6.00E-13,313.898315,8.87E-12
37,89.46672729,3.09E-06,88.68848365,3.93E-06,163,324.7489259,8.17E-13,314.0661064,1.19E-11
38,89.46805373,4.91E-06,88.68978708,6.23E-06,164,324.7787914,1.15E-12,314.093822,1.66E-11
39,89.95717141,6.66E-06,89.17020839,8.44E-06,165,328.3232089,6.66E-13,317.3815536,1.03E-11
40,93.89194605,3.18E-06,93.03331758,4.13E-06,166,328.8119639,8.37E-13,317.8347011,1.29E-11
41,94.81769641,3.78E-06,93.94180546,4.92E-06,167,328.819787,1.18E-12,317.8419508,1.80E-11
42,103.7699018,3.85E-07,102.7231968,5.33E-07,168,328.8344981,1.67E-12,317.8555774,2.49E-11
43,106.793489,2.41E-07,105.6877809,3.41E-07,169,329.0947399,2.20E-12,318.0965211,3.26E-11
44,106.8402083,3.82E-07,105.7335682,5.38E-07,170,330.8857409,1.98E-12,319.7539349,3.03E-11
45,111.1732934,1.60E-07,109.978338,2.32E-07,171,331.1605927,2.61E-12,320.0081668,3.94E-11
46,111.3657567,2.42E-07,110.1667952,3.49E-07,172,333.9232885,1.84E-12,322.5624026,2.95E-11
47,112.2263379,2.95E-07,111.00909,4.27E-07,173,336.4280558,1.39E-12,324.8770856,2.34E-11
48,117.2853784,9.94E-08,115.9584375,1.50E-07,174,339.2860381,9.61E-13,327.5169392,1.72E-11
49,118.5332139,1.08E-07,117.1786756,1.63E-07,175,340.0870249,1.11E-12,328.2564452,1.99E-11
50,118.7240189,1.62E-07,117.3651779,2.44E-07,176,343.3888261,6.85E-13,331.3033805,1.33E-11
51,119.1933767,2.20E-07,117.8237482,3.32E-07,177,344.1771227,7.93E-13,332.0304867,1.54E-11
52,122.3000525,1.36E-07,120.8576744,2.09E-07,178,344.251567,1.09E-12,332.0991201,2.09E-11
53,126.0058576,6.98E-08,124.4750931,1.11E-07,179,360.1365418,2.82E-14,346.7372691,8.29E-13
54,126.0079674,1.09E-07,124.4771517,1.73E-07,180,360.2997035,3.86E-14,346.8875533,1.12E-12
55,126.2081372,1.60E-07,124.6723736,2.52E-07,181,363.4726187,2.45E-14,349.8086717,7.63E-13
56,126.2503103,2.44E-07,124.713486,3.82E-07,182,364.875447,2.44E-14,351.0995657,7.78E-13
57,127.669879,2.48E-07,126.0967344,3.90E-07,183,365.7646795,2.77E-14,351.9174591,8.90E-13
58,134.1602563,5.69E-08,132.418238,9.52E-08,184,370.7295681,1.11E-14,356.481884,4.05E-13
59,134.2857541,8.48E-08,132.5404161,1.41E-07,185,371.0313755,1.47E-14,356.759217,5.30E-13
60,134.3785577,1.27E-07,132.6307245,2.10E-07,186,371.0983184,2.06E-14,356.8207022,7.29E-13
61,134.6942583,1.76E-07,132.9378002,2.90E-07,187,373.9732249,1.41E-14,359.4599811,5.34E-13
62,137.7524999,1.11E-07,135.9111643,1.88E-07,188,375.6006532,1.33E-14,360.9533195,5.17E-13
63,141.6580957,5.50E-08,139.7066718,9.65E-08,189,375.8906749,1.75E-14,361.2193195,6.76E-13
64,144.0364638,4.22E-08,142.0169686,7.56E-08,190,377.069606,1.85E-14,362.3000915,7.23E-13
65,144.2544505,6.05E-08,142.2286218,1.08E-07,191,378.0590229,2.04E-14,363.2066994,8.08E-13
66,145.0575544,7.28E-08,143.0080435,1.30E-07,192,381.7311683,1.14E-14,366.5699132,4.96E-13
67,146.2076996,7.93E-08,144.1237741,1.42E-07,193,381.8347688,1.58E-14,366.6647531,6.74E-13
68,149.7377873,4.40E-08,147.5467039,8.17E-08,194,382.4773877,1.90E-14,367.2527522,8.12E-13
69,150.511824,5.32E-08,148.2969087,9.92E-08,195,387.4298582,7.73E-15,371.7821365,3.76E-13
70,150.6164055,7.75E-08,148.3982248,1.44E-07,196,390.3827554,5.19E-15,374.4814892,2.72E-13
71,158.0950782,1.41E-08,155.6401486,2.83E-08,197,391.1792257,6.03E-15,375.2092268,3.17E-13
72,158.7204333,1.79E-08,156.2454358,3.59E-08,198,391.5065117,7.87E-15,375.5081272,4.10E-13
73,161.9323194,1.08E-08,159.3528591,2.25E-08,199,392.4962291,8.68E-15,376.411577,4.57E-13
74,162.4933701,1.40E-08,159.8954189,2.90E-08,200,392.8816072,1.11E-14,376.7631969,5.81E-13
