Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
1,5.707706546,0.016890592,5.700281083,0.016962196,127,216.7781627,1.20E-06,211.1517682,3.99E-06
2,6.147515354,0.046247046,6.139326995,0.046436778,128,217.074775,1.49E-06,211.4316591,4.92E-06
3,7.73206303,0.051886199,7.720438965,0.052156918,129,226.8913976,2.27E-07,220.6906158,8.99E-07
4,8.190352721,0.084848999,8.177536229,0.085287077,130,227.3516785,2.75E-07,221.1245494,1.08E-06
5,8.638018244,0.124403049,8.623842836,0.125041648,131,233.1498107,9.99E-08,226.5882706,4.36E-07
6,9.573394103,0.14380533,9.555973679,0.144639656,132,233.7969094,1.16E-07,227.1977669,5.08E-07
7,9.573394349,0.214064792,9.555973924,0.21516281,133,234.7202363,1.27E-07,228.0670395,5.58E-07
8,11.64075945,0.167966311,11.61437387,0.169256545,134,234.8635955,1.65E-07,228.2019439,7.17E-07
9,19.88263793,0.018650664,19.81693723,0.019076377,135,236.9502276,1.39E-07,230.1646087,6.21E-07
10,19.88386043,0.030370509,19.81815337,0.031020333,136,236.9534655,1.86E-07,230.1676529,8.19E-07
11,22.21190716,0.022782015,22.13307581,0.02336232,137,238.4595063,1.78E-07,231.5829132,7.97E-07
12,23.12424828,0.026689443,23.039878,0.027389292,138,239.463944,1.90E-07,232.5263703,8.58E-07
13,23.12474157,0.040203447,23.04036808,0.041194387,139,240.0916572,2.21E-07,233.1157021,9.95E-07
14,24.12907209,0.044204141,24.03773013,0.045343862,140,244.3521773,1.15E-07,237.1138658,5.58E-07
15,25.87880393,0.039316023,25.77456282,0.040460072,141,244.5796699,1.46E-07,237.327251,7.02E-07
16,28.16517441,0.030212629,28.04308652,0.031246993,142,249.0810287,7.17E-08,241.5475189,3.75E-07
17,28.1652926,0.043043503,28.04320374,0.044435919,143,249.3615211,9.01E-08,241.8103742,4.67E-07
18,36.27189189,0.00651101,36.07949428,0.006892374,144,250.9819141,8.41E-08,243.328175,4.45E-07
19,36.27435102,0.009765719,36.08193101,0.010313623,145,251.2719398,1.05E-07,243.5997125,5.52E-07
20,42.4661709,0.002403452,42.21467889,0.002592791,146,251.9991288,1.19E-07,244.2802303,6.27E-07
21,43.11694287,0.003037168,42.85896007,0.003276283,147,253.5728685,1.12E-07,245.7522843,6.03E-07
22,43.50762858,0.004084423,43.24557967,0.004401248,148,253.5731324,1.49E-07,245.752531,7.88E-07
23,44.49933607,0.004575119,44.22653578,0.004937348,149,254.9697739,1.46E-07,247.0577185,7.83E-07
24,44.80448813,0.00614293,44.52824727,0.006619868,150,255.6851964,1.65E-07,247.7259839,8.88E-07
25,44.83098481,0.008741027,44.55443371,0.009395021,151,255.6902677,2.18E-07,247.7307188,1.15E-06
26,44.83540741,0.012269936,44.55880261,0.013152403,152,261.0203835,9.13E-08,252.7048771,5.37E-07
27,46.20109674,0.012103308,45.90731718,0.013018217,153,261.292784,1.14E-07,252.958968,6.64E-07
28,47.62032298,0.011769894,47.30807994,0.012707267,154,261.5709015,1.42E-07,253.218271,8.18E-07
29,47.79236904,0.015443374,47.47781315,0.016638888,155,261.6996988,1.82E-07,253.3382993,1.04E-06
30,51.81968995,0.007964595,51.44924756,0.008726416,156,263.395063,1.67E-07,254.9175024,9.72E-07
31,65.33814026,0.000302684,64.77424216,0.000355985,157,265.2598504,1.47E-07,256.6537117,8.83E-07
32,65.34352958,0.000453428,64.77955202,0.000531162,158,265.4373236,1.86E-07,256.818871,1.10E-06
33,65.93062863,0.000569816,65.3577402,0.000667177,159,266.587031,1.92E-07,257.8883083,1.15E-06
34,66.65955886,0.000683581,66.07529077,0.000800706,160,267.8970886,1.91E-07,259.1063323,1.16E-06
35,66.72693163,0.000971783,66.14158254,0.001134174,161,268.1040438,2.39E-07,259.2986589,1.44E-06
36,67.08682522,0.001263951,66.49554554,0.001472518,162,268.845453,2.67E-07,259.98734,1.61E-06
37,67.4092387,0.001644428,66.81250623,0.001911921,163,270.2486513,2.60E-07,261.290136,1.59E-06
38,71.33744541,0.000848639,70.67257406,0.001007839,164,272.7723569,2.01E-07,263.6321697,1.29E-06
39,72.43330214,0.000907599,71.74894677,0.001081073,165,273.4109512,2.29E-07,264.2245172,1.47E-06
40,72.48908848,0.001258571,71.80371706,0.00149319,166,273.50978,2.92E-07,264.316146,1.84E-06
41,80.71906676,0.000211516,79.88023087,0.000264671,167,274.254002,3.25E-07,265.0058261,2.05E-06
42,80.90275726,0.000290751,80.06041643,0.000362544,168,274.7092561,3.84E-07,265.4275186,2.41E-06
43,82.58283674,0.000268232,81.70771032,0.000337006,169,274.7184383,4.95E-07,265.4360198,3.06E-06
44,82.62533173,0.000377934,81.74935763,0.00047265,170,276.2419483,4.70E-07,266.8458942,2.97E-06
45,88.52310299,0.000115711,87.5269228,0.000150693,171,276.4722931,5.78E-07,267.0589582,3.61E-06
46,90.26482984,0.00010525,89.23239514,0.000138253,172,276.6673546,7.14E-07,267.2393012,4.41E-06
47,92.67546543,8.02E-05,91.59180733,0.0001068,173,276.7932615,8.93E-07,267.3556532,5.43E-06
48,92.88257954,0.000109268,91.79443068,0.000145038,174,278.54693,8.09E-07,268.9754771,5.06E-06
49,93.30982233,0.000139582,92.21222448,0.000184916,175,278.7258102,9.99E-07,269.1406272,6.17E-06
50,98.44486394,5.23E-05,97.23147156,7.20E-05,176,279.6823664,1.06E-06,270.0233468,6.58E-06
51,99.12545388,6.29E-05,97.89641915,8.66E-05,177,282.5843135,7.67E-07,272.7000344,5.04E-06
52,99.16657224,8.88E-05,97.93657463,0.000121539,178,283.1120835,8.84E-07,273.1866081,5.78E-06
53,100.3570887,9.28E-05,99.09869631,0.000127649,179,283.2072939,1.11E-06,273.2743454,7.13E-06
54,105.7673415,3.27E-05,104.3775639,4.69E-05,180,283.2435137,1.40E-06,273.3077065,8.85E-06
55,110.1958142,1.46E-05,108.6965731,2.17E-05,181,286.1767919,1.01E-06,276.0082051,6.78E-06
56,110.9605966,1.73E-05,109.4421199,2.57E-05,182,286.5217391,1.20E-06,276.3256283,7.99E-06
57,113.1271039,1.40E-05,111.5531962,2.12E-05,183,287.9671214,1.16E-06,277.6550541,7.84E-06
58,118.5631614,4.77E-06,116.8478124,7.57E-06,184,291.0257996,8.17E-07,280.4670219,5.89E-06
59,120.4368647,4.20E-06,118.6719512,6.75E-06,185,291.0258147,1.04E-06,280.4670358,7.35E-06
60,120.4693981,6.07E-06,118.7036098,9.68E-06,186,291.1894528,1.27E-06,280.617333,8.90E-06
61,120.7058526,8.24E-06,118.9336044,1.31E-05,187,293.7627989,9.90E-07,282.9797674,7.26E-06
62,122.4345231,7.53E-06,120.6142979,1.21E-05,188,293.7774527,1.25E-06,282.9932138,9.01E-06
63,133.0299436,6.33E-07,130.9110617,1.13E-06,189,293.7995369,1.57E-06,283.0134688,1.11E-05
64,133.0327044,9.35E-07,130.9137435,1.66E-06,190,293.7997972,1.98E-06,283.0137075,1.38E-05
65,133.1582501,1.33E-06,131.0356415,2.34E-06,191,293.9504506,2.42E-06,283.151752,1.66E-05
66,137.8715356,5.41E-07,135.6099403,1.00E-06,192,294.9086185,2.54E-06,284.0293108,1.76E-05
67,137.9454109,7.80E-07,135.6816051,1.43E-06,193,296.016564,2.60E-06,285.0435661,1.82E-05
68,138.2743535,1.04E-06,136.0005625,1.91E-06,194,300.6846165,1.38E-06,289.3148545,1.07E-05
69,142.1300541,5.40E-07,139.7375489,1.02E-06,195,301.4462053,1.51E-06,290.0113813,1.17E-05
70,142.5706122,7.00E-07,140.1643516,1.33E-06,196,304.2012782,1.14E-06,292.5298954,9.35E-06
71,143.8261857,7.28E-07,141.3801779,1.39E-06,197,304.4166615,1.37E-06,292.7266919,1.12E-05
72,144.5247222,8.76E-07,142.0562982,1.67E-06,198,304.5027698,1.70E-06,292.805332,1.36E-05
73,145.330424,1.02E-06,142.8357955,1.95E-06,199,306.067069,1.60E-06,294.2332807,1.31E-05
74,146.3015604,1.14E-06,143.7749256,2.19E-06,200,307.2789911,1.60E-06,295.3390414,1.33E-05
75,149.6091655,6.90E-07,146.972086,1.37E-06,201,307.5187321,1.92E-06,295.5576777,1.57E-05
76,149.6096189,9.90E-07,146.9725241,1.95E-06,202,308.4237728,2.04E-06,296.3826541,1.68E-05
77,149.7393332,1.36E-06,147.0977946,2.67E-06,203,308.440791,2.54E-06,296.3981594,2.05E-05
78,149.7406938,1.93E-06,147.099108,3.74E-06,204,308.6907781,3.02E-06,296.6258146,2.41E-05
79,152.5854782,1.33E-06,149.8439672,2.65E-06,205,311.8970315,2.12E-06,299.544256,1.81E-05
80,153.1038619,1.65E-06,150.3439175,3.28E-06,206,314.2302517,1.73E-06,301.667021,1.55E-05
81,157.4837608,7.69E-07,154.5661704,1.61E-06,207,315.3976136,1.75E-06,302.7285812,1.59E-05
82,157.503366,1.08E-06,154.5850614,2.25E-06,208,315.432638,2.17E-06,302.760416,1.93E-05
83,157.505643,1.52E-06,154.5872545,3.13E-06,209,315.5814312,2.63E-06,302.8955946,2.31E-05
84,158.6621673,1.60E-06,155.7006473,3.31E-06,210,316.9143365,2.58E-06,304.1059605,2.30E-05
85,165.5827772,3.97E-07,162.3601588,8.95E-07,211,317.8570369,2.71E-06,304.9615858,2.43E-05
86,165.8936513,5.19E-07,162.6591695,1.17E-06,212,318.0189574,3.26E-06,305.1084799,2.89E-05
87,166.3823813,6.47E-07,163.129037,1.45E-06,213,318.6658861,3.60E-06,305.6950921,3.19E-05
88,171.2521033,2.68E-07,167.8087005,6.37E-07,214,318.9870859,4.21E-06,305.9862056,3.68E-05
89,171.5719621,3.49E-07,168.1159369,8.27E-07,215,319.7695816,4.54E-06,306.6950666,3.98E-05
90,173.0427307,3.40E-07,169.5280279,8.16E-07,216,321.0099586,4.52E-06,307.8181833,4.02E-05
91,178.012102,1.37E-07,174.2969865,3.50E-07,217,321.0258525,5.54E-06,307.8325678,4.84E-05
92,178.0696187,1.91E-07,174.3521586,4.85E-07,218,321.025853,6.81E-06,307.8325682,5.83E-05
93,178.1493806,2.64E-07,174.4286346,6.64E-07,219,321.0885872,8.26E-06,307.8892901,6.94E-05
94,179.268103,2.81E-07,175.500784,7.11E-07,220,321.9097867,8.81E-06,308.6314323,7.43E-05
95,179.3007196,3.90E-07,175.5320286,9.77E-07,221,322.2348114,1.02E-05,308.9250257,8.51E-05
96,180.4672654,4.09E-07,176.6489987,1.03E-06,222,324.123943,9.10E-06,310.630651,7.85E-05
97,181.4541419,4.47E-07,177.5935072,1.13E-06,223,329.1935603,4.75E-06,315.2056179,4.65E-05
98,181.7086315,5.82E-07,177.8369608,1.47E-06,224,329.6434173,5.40E-06,315.6113865,5.25E-05
99,185.0428537,3.60E-07,181.0251481,9.46E-07,225,331.8788029,4.54E-06,317.6267234,4.61E-05
