Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
1,24.19584945,8.70E-07,24.16437176,8.85E-07,127,296.9057301,1.23E-15,291.0217036,6.76E-15
2,26.14945452,2.10E-06,26.11458809,2.13E-06,128,296.9480756,1.87E-15,291.0616619,1.02E-14
3,27.06391976,5.71E-06,27.02707055,5.81E-06,129,302.0215,6.57E-16,295.8468735,3.94E-15
4,27.22827797,1.79E-05,27.1910011,1.82E-05,130,303.1276436,7.35E-16,296.8896993,4.46E-15
5,30.90354897,9.79E-06,30.85511561,1.00E-05,131,303.2008017,1.11E-15,296.958638,6.66E-15
6,44.77961487,5.18E-08,44.68304251,5.41E-08,132,303.2036574,1.70E-15,296.9613277,1.01E-14
7,48.7327229,2.56E-08,48.6207221,2.69E-08,133,303.4641846,2.40E-15,297.2066029,1.42E-14
8,61.49422572,2.37E-10,61.32688449,2.56E-10,134,308.1647334,9.51E-16,301.6299294,6.16E-15
9,92.378435,5.42E-16,92.06377101,6.27E-16,135,308.4982044,1.32E-15,301.9435888,8.52E-15
10,93.09070178,1.30E-15,92.77233128,1.51E-15,136,313.116068,5.35E-16,306.2851015,3.77E-15
11,97.42623677,5.77E-16,97.08342484,6.74E-16,137,314.6016726,5.33E-16,307.6811575,3.84E-15
12,97.4438364,1.76E-15,97.10091761,2.05E-15,138,314.6740406,7.97E-16,307.749132,5.69E-15
13,97.59539527,4.84E-15,97.25149063,5.64E-15,139,314.6741277,1.21E-15,307.7492138,8.57E-15
14,100.2056191,4.33E-15,99.84360359,5.08E-15,140,319.0899631,5.23E-16,311.8931287,4.03E-15
15,117.6738629,5.34E-18,117.1830702,6.65E-18,141,320.3882285,5.50E-16,313.1108859,4.31E-15
16,120.5531796,4.30E-18,120.0399118,5.40E-18,142,320.4102092,8.29E-16,313.131494,6.43E-15
17,125.5022576,1.37E-18,124.9482125,1.75E-18,143,320.7012061,1.16E-15,313.4041931,8.92E-15
18,128.9215709,8.52E-19,128.33787,1.10E-18,144,324.1421803,6.60E-16,316.6273086,5.44E-15
19,129.3630063,1.92E-18,128.7752854,2.49E-18,145,325.9042524,6.06E-16,318.2770544,5.15E-15
20,129.3700257,5.12E-18,128.7822378,6.59E-18,146,325.9347247,9.08E-16,318.3055709,7.62E-15
21,139.0682541,2.05E-19,138.3837363,2.75E-19,147,327.272195,9.39E-16,319.5566218,8.03E-15
22,140.2105441,3.29E-19,139.5141378,4.44E-19,148,327.7690243,1.23E-15,320.0211336,1.05E-14
23,141.9077204,4.10E-19,141.1929144,5.57E-19,149,327.7862027,1.83E-15,320.0371871,1.55E-14
24,144.6049867,3.31E-19,143.8597693,4.54E-19,150,327.8131445,2.72E-15,320.062353,2.27E-14
25,144.6604688,8.08E-19,143.9146017,1.11E-18,151,328.3442691,3.49E-15,320.5582382,2.92E-14
26,147.090238,7.15E-19,146.3148681,9.89E-19,152,328.3451085,5.19E-15,320.5590215,4.29E-14
27,147.1287381,1.70E-18,146.3528841,2.35E-18,153,328.5121433,7.33E-15,320.714829,6.02E-14
28,147.1300309,4.04E-18,146.3541601,5.57E-18,154,331.8091221,4.41E-15,323.7887684,3.87E-14
29,148.6254313,5.10E-18,147.8294574,7.07E-18,155,332.5918478,5.27E-15,324.5182036,4.65E-14
30,148.6386726,1.17E-17,147.842515,1.62E-17,156,333.3561103,6.32E-15,325.2301012,5.61E-14
31,148.8059483,2.47E-17,148.0073969,3.41E-17,157,335.9028486,4.67E-15,327.6012404,4.35E-14
32,151.1520435,2.14E-17,150.3189009,3.00E-17,158,337.1529196,4.90E-15,328.7645762,4.65E-14
33,151.5303058,4.07E-17,150.6914221,5.69E-17,159,337.4895157,6.58E-15,329.0776719,6.22E-14
34,158.3322953,5.90E-18,157.3872227,8.61E-18,160,338.8939147,6.62E-15,330.3834098,6.39E-14
35,159.599235,7.81E-18,158.6338342,1.15E-17,161,339.8329644,7.54E-15,331.2560826,7.36E-14
36,161.1247978,9.26E-18,160.1342576,1.37E-17,162,339.8643543,1.09E-14,331.28524,1.06E-13
37,164.0431247,6.30E-18,163.0032286,9.49E-18,163,340.5343808,1.34E-14,331.9073245,1.29E-13
38,167.7454647,3.14E-18,166.6413477,4.85E-18,164,340.9679564,1.73E-14,332.3096887,1.67E-13
39,169.3684118,3.54E-18,168.2354392,5.52E-18,165,341.5310006,2.17E-14,332.8319573,2.10E-13
40,170.5870763,4.65E-18,169.4319077,7.30E-18,166,342.3852842,2.51E-14,333.6240035,2.45E-13
41,171.2305568,7.59E-18,170.0633892,1.19E-17,167,342.749896,3.30E-14,333.961894,3.21E-13
42,173.3427952,6.96E-18,172.1353247,1.11E-17,168,346.0441678,2.01E-14,337.0133096,2.10E-13
43,176.5011819,4.25E-18,175.2320776,6.93E-18,169,347.1833093,2.16E-14,338.0679787,2.28E-13
44,176.7391452,7.97E-18,175.4652941,1.30E-17,170,350.7077971,1.24E-14,341.3295819,1.41E-13
45,178.4740779,8.36E-18,177.1648661,1.38E-17,171,351.4464165,1.47E-14,342.012789,1.70E-13
46,180.7169264,7.20E-18,179.3610291,1.21E-17,172,355.7481643,6.89E-15,345.9899469,8.74E-14
47,180.8512458,1.37E-17,179.4924943,2.29E-17,173,359.5731835,3.64E-15,349.5246893,5.03E-14
48,180.980266,2.60E-17,179.6187171,4.33E-17,174,363.34214,1.95E-15,353.0059891,2.94E-14
49,181.0033634,5.07E-17,179.6413036,8.41E-17,175,363.5221911,2.71E-15,353.1722201,4.03E-14
50,181.0038559,9.87E-17,179.641785,1.63E-16,176,363.9356855,3.52E-15,353.5537969,5.23E-14
51,181.4031942,1.64E-16,180.0319452,2.71E-16,177,364.1401743,4.83E-15,353.7424126,7.12E-14
52,181.4843121,3.04E-16,180.1111634,5.01E-16,178,364.9288686,5.67E-15,354.4695435,8.42E-14
53,182.6185684,3.82E-16,181.2183669,6.34E-16,179,367.3491296,4.35E-15,356.6998361,6.79E-14
54,185.0843047,2.95E-16,183.624224,4.99E-16,180,367.5457928,5.96E-15,356.8809777,9.22E-14
55,185.9583797,4.03E-16,184.4766935,6.87E-16,181,369.7067139,4.89E-15,358.870412,7.91E-14
56,186.0854475,7.17E-16,184.6005653,1.22E-15,182,370.4760577,5.76E-15,359.5783685,9.38E-14
57,190.0934378,3.18E-16,188.5060095,5.60E-16,183,372.2840835,5.18E-15,361.2413445,8.74E-14
