,Forecast,Lower_CI,Upper_CI
2024-03-01,210.5180617324149,177.19576089354308,243.84036257128673
2024-03-04,210.46532146913802,169.45184330276183,251.47879963551418
2024-03-05,210.67704806203577,170.09267369811116,251.26142242596035
2024-03-06,210.60368234086909,165.35858789905478,255.84877678268336
2024-03-07,210.81422651179705,165.2935845038258,256.3348685197683
2024-03-08,210.7430348329671,162.05585499007887,259.4302146758553
2024-03-11,210.95137570278266,161.5458784444446,260.35687296112064
2024-03-12,210.88237221649788,159.14884859854237,262.6158958344534
2024-03-13,211.0885419249052,158.40789608304198,263.76918776676837
2024-03-14,211.0216926078548,156.50907068079664,265.53431453491294
2024-03-15,211.225725010543,155.6657143950069,266.7857356260791
2024-03-18,211.1609962675093,154.07497731128404,268.24701522373454
2024-03-19,211.3629246969099,153.20026915137407,269.52558024244564
2024-03-20,211.3002834563917,151.8086405454391,270.7919263673443
2024-03-21,211.50014072510893,150.93959769661973,272.06068375359814
2024-03-22,211.43955443137256,149.68298616546525,273.1961226972798
2024-03-25,211.63737284028036,148.8374890023949,274.4372566781658
2024-03-26,211.57880944531644,147.67720396448368,275.4804149261492
2024-03-27,211.77462079153915,146.86273945293922,276.68650213013905
2024-03-28,211.7180487471444,145.7747214844754,277.66137600981335
2024-03-29,211.91188433191292,144.99333282049594,278.8304358433299
2024-04-01,211.85727258189544,143.9620986095348,279.75244655425604
2024-04-02,212.049163218281,143.2131200787106,280.88520635785136
2024-04-03,211.996481190787,142.22831207438406,281.7646503071899
2024-04-04,212.18645721131426,141.5098462119749,282.86306821065364
2024-04-05,212.13567481127458,140.5642413564037,283.70710826614544
2024-04-08,212.32376607541605,139.8739350406163,284.77359711021575
2024-04-09,212.27485367711046,138.96227965339253,285.58742770082836
2024-04-10,212.46108957866397,138.29771571403214,286.6244634432958
2024-04-11,212.41401801840144,137.4160327812668,287.41200325553604
2024-04-12,212.59842749275265,136.77491449360903,288.42194049189624
2024-04-15,212.5531680616657,135.92008388084545,289.18625224248586
2024-04-16,212.7357795929372,135.300310475726,290.1712487101484
2024-04-17,212.69230402988873,134.46980867674458,290.91479938303286
2024-04-18,212.8731456579778,133.86949546110677,291.8767958548488
2024-04-19,212.8314261425784,133.0612299081378,292.601622377019
2024-04-22,213.01052547008487,132.47870181347153,293.5423491266982
2024-04-23,212.97053461581928,131.69090218139405,294.2501670502445
2024-04-24,213.14791881486548,131.12467591053382,295.17116171919713
2024-04-25,213.10962966232594,130.35582046527034,295.86343885938146
2024-04-26,213.2853254812703,129.80458297590758,296.76606798663295
2024-04-29,213.24871149149564,129.05334698025095,297.4440760027403
2024-04-30,213.42274526154134,128.5159340537883,298.32955646929435
2024-05-01,213.3877803094599,127.78115242993368,298.9944081889861
2024-05-02,213.56017795116074,127.25652897475737,299.86382692756405
2024-05-03,213.52683631913547,126.53716845262724,300.51650418564367
2024-05-06,213.6976233488002,126.02441111835631,301.37083557924404
2024-05-07,213.6658797202746,125.31954888960945,302.01221055093976
2024-05-08,213.83508125627125,124.81783104677926,302.8523314657632
2024-05-09,213.80491070951425,124.12663801777137,303.4831834012571
2024-05-10,213.97255147847633,123.63521692466153,304.3098860322911
2024-05-13,213.9439294804247,122.95694431578652,304.9309146450629
2024-05-14,214.11003382336045,122.47515020915249,305.7449174375684
2024-05-15,214.08293622355748,121.80911865448381,306.3567537926311
2024-05-16,214.2475281018639,121.33634548807326,307.15871071565454
2024-05-17,214.22193112649225,120.6819360474575,307.761926205527
2024-05-20,214.38503412787534,120.21763362163922,308.5524346341115
2024-05-21,214.36091437388333,119.57428028548246,309.1475484622842
2024-05-22,214.5225517181861,119.11794754281381,309.92715589355834
2024-05-23,214.49988614750526,118.48513092207202,310.5146413729385
2024-05-24,214.66008069244458,118.03631021729696,311.2838511675922
2024-05-27,214.63884662629766,117.4135521881784,311.8641410644169
2024-05-28,214.79762087311198,116.9718243725478,312.62341737367615
