date,Forecast
2024-03-01,489.88678
2024-03-04,488.42148
2024-03-05,487.8196
2024-03-06,487.45547
2024-03-07,487.2603
2024-03-08,487.05295
2024-03-11,486.80322
2024-03-12,486.5621
2024-03-13,486.34396
2024-03-14,486.14682
2024-03-15,485.96536
2024-03-18,485.79602
2024-03-19,485.6382
2024-03-20,485.49158
2024-03-21,485.35544
2024-03-22,485.22913
2024-03-25,485.11182
2024-03-26,485.00278
2024-03-27,484.90146
2024-03-28,484.8073
2024-03-29,484.71988
2024-04-01,484.63858
2024-04-02,484.56302
2024-04-03,484.49283
2024-04-04,484.42758
2024-04-05,484.3669
2024-04-08,484.31046
2024-04-09,484.2581
2024-04-10,484.20932
2024-04-11,484.164
2024-04-12,484.1219
2024-04-15,484.08276
2024-04-16,484.04633
2024-04-17,484.01242
2024-04-18,483.98096
2024-04-19,483.95163
2024-04-22,483.9244
2024-04-23,483.89905
2024-04-24,483.87552
2024-04-25,483.8536
2024-04-26,483.83322
2024-04-29,483.8142
2024-04-30,483.7966
2024-05-01,483.78018
2024-05-02,483.765
2024-05-03,483.75082
2024-05-06,483.7376
2024-05-07,483.72537
2024-05-08,483.71396
2024-05-09,483.70328
2024-05-10,483.69342
2024-05-13,483.68423
2024-05-14,483.6757
2024-05-15,483.66776
2024-05-16,483.66034
2024-05-17,483.65347
2024-05-20,483.64713
2024-05-21,483.6411
2024-05-22,483.63553
2024-05-23,483.63037
2024-05-24,483.62564
2024-05-27,483.6212
2024-05-28,483.61697
