,Forecast,Lower_CI,Upper_CI
2024-03-01,277.3374435351981,257.6266284302712,297.04825864012497
2024-03-04,278.2081935710298,256.43066373958266,299.985723402477
2024-03-05,277.79842602648057,255.19326262253512,300.40358943042605
2024-03-06,278.40385131518633,254.33483074369192,302.47287188668076
2024-03-07,278.0680779786068,253.30060301429222,302.8355529429214
2024-03-08,278.6384932892814,252.75488259815788,304.52210398040495
2024-03-11,278.32935136218293,251.78984725784744,304.8688554665184
2024-03-12,278.8753533535261,251.42624556803995,306.32446113901227
2024-03-13,278.5896582828737,250.5159666891121,306.66334987663527
2024-03-14,279.1129143201414,250.262344693739,307.96348394654376
2024-03-15,278.8493314764455,249.40359443744157,308.2950685154495
2024-03-18,279.35108205173793,249.21889075522006,309.4832733482558
2024-03-19,279.1084164243848,248.40938471956235,309.8074481292073
2024-03-20,279.5898215630603,248.26901413026923,310.91062899585137
2024-03-21,279.366945297793,247.50604320312564,311.2278473924604
2024-03-22,279.829101935337,247.39473481518786,312.26346905548615
2024-03-25,279.6249480954997,246.675224918745,312.57467127225436
2024-03-26,280.06889400466883,246.58321325341137,313.5545747559263
2024-03-27,279.88245318131425,245.9039753108854,313.86093105174314
2024-03-28,280.30917018305547,245.82485538870736,314.7934849774036
2024-03-29,280.1394873891159,245.1827787897414,315.0961959884904
2024-04-01,280.5499043700307,245.1122521156163,315.98755662444506
2024-04-02,280.39607610602224,244.50441589346246,316.287736318582
2024-04-03,280.79107187232546,244.43953688795608,317.14260685669484
2024-04-04,280.65224335041773,243.8632591718114,317.4412275290241
2024-04-05,281.03264932799453,243.80197187904776,318.2633267769413
2024-04-08,280.90801184574957,243.25482109812793,318.5612025933712
2024-04-09,281.27461463463817,243.19566830419268,319.35356096508366
2024-04-10,281.16340309034337,242.6754534576445,319.65135272304224
2024-04-11,281.51694688149513,242.617390236012,320.41650352697826
2024-04-12,281.41843742345486,242.12214125113428,320.71473359577544
2024-04-15,281.75962628519545,242.06441289483135,321.4548396755595
2024-04-16,281.67313408776073,241.59235750397056,321.7539106715509
2024-04-17,282.0026341289784,241.53441785571042,322.4708504022464
2024-04-18,281.9275112884797,241.08395845925682,322.7710641177026
2024-04-19,282.2459527051864,241.0254140463923,323.46649136398054
2024-04-22,282.18158624930663,240.59510624765244,323.7680662509608
2024-04-23,282.4895652608602,240.53567721283113,324.44345330888933
2024-04-24,282.43537526533095,240.12421069727284,324.746539833389
2024-04-25,282.7334559462666,240.0637028790505,325.4032090134827
2024-04-26,282.6888937531016,239.66988476734764,325.7079027388555
2024-04-29,282.9776097662014,239.60816933659152,326.3470501958113
2024-04-30,282.9421562979931,239.23090987298045,326.65340272300574
2024-05-01,283.2220125339185,239.16790819823035,327.2761168696066
2024-05-02,283.19517669901825,238.80620852220747,327.58414487582905
2024-05-03,283.46665082754197,238.74188073044354,328.19142092464045
2024-05-06,283.4479680112238,238.39482244886693,328.50111357358065
2024-05-07,283.7115119488284,238.32915865172333,329.09386524593344
2024-05-08,283.70054258580114,237.9958949384925,329.40519023310975
2024-05-09,283.95658388415296,237.92890841852886,329.9842593497771
2024-05-10,283.9529121080345,237.60865639712765,330.29716781894143
2024-05-13,284.20185526759855,237.54037826139066,330.8633322738064
2024-05-14,284.2050876332027,237.23241245939008,331.1777628070153
2024-05-15,284.44731534603477,237.16288740921829,331.73174328285126
2024-05-16,284.45707962054536,236.86653410718162,332.0476251339091
2024-05-17,284.6929539460801,236.7958170693841,332.59009082277606
2024-05-20,284.70889796539853,236.51044939673966,332.9073465340574
2024-05-21,284.938761442845,236.43860282777553,333.4389200579145
2024-05-22,284.9605520295968,236.163636484178,333.7574675750156
2024-05-23,285.1847287303604,236.09072820579658,334.27872925492426
2024-05-24,285.2120506702368,235.8256177082509,334.59848363222267
2024-05-27,285.4308471936002,235.75171916664084,335.10997522055953
2024-05-28,285.46340226689006,235.49595454058837,335.43084999319177
