date,Forecast
2024-03-01,412.61093
2024-03-04,412.5961
2024-03-05,411.83636
2024-03-06,411.70245
2024-03-07,411.66315
2024-03-08,411.70847
2024-03-11,411.69836
2024-03-12,411.6664
2024-03-13,411.6245
2024-03-14,411.58896
2024-03-15,411.55884
2024-03-18,411.53198
2024-03-19,411.5061
2024-03-20,411.48096
2024-03-21,411.45663
2024-03-22,411.43356
2024-03-25,411.4116
2024-03-26,411.3907
2024-03-27,411.3708
2024-03-28,411.35178
2024-03-29,411.33368
2024-04-01,411.31647
2024-04-02,411.30002
2024-04-03,411.2844
2024-04-04,411.26947
2024-04-05,411.2553
2024-04-08,411.24176
2024-04-09,411.22885
2024-04-10,411.21655
2024-04-11,411.2048
2024-04-12,411.19363
2024-04-15,411.18304
2024-04-16,411.1729
2024-04-17,411.16327
2024-04-18,411.15405
2024-04-19,411.14526
2024-04-22,411.13693
2024-04-23,411.129
2024-04-24,411.1214
2024-04-25,411.11417
2024-04-26,411.1072
2024-04-29,411.10062
2024-04-30,411.09436
2024-05-01,411.0884
2024-05-02,411.08273
2024-05-03,411.07724
2024-05-06,411.0721
2024-05-07,411.0672
2024-05-08,411.0625
2024-05-09,411.05804
2024-05-10,411.0538
2024-05-13,411.0497
2024-05-14,411.04587
2024-05-15,411.0422
2024-05-16,411.03867
2024-05-17,411.03534
2024-05-20,411.03217
2024-05-21,411.02914
2024-05-22,411.02628
2024-05-23,411.02344
2024-05-24,411.02087
2024-05-27,411.01834
2024-05-28,411.01602
