date,Forecast,
3/1/2024,400.1772,3/1/2024
3/4/2024,388.0743,3/4/2024
3/5/2024,376.54898,3/5/2024
3/6/2024,365.56674,3/6/2024
3/7/2024,355.0963,3/7/2024
3/8/2024,345.10916,3/8/2024
3/11/2024,335.5789,3/11/2024
3/12/2024,326.4813,3/12/2024
3/13/2024,317.79407,3/13/2024
3/14/2024,309.49634,3/14/2024
3/15/2024,301.56876,3/15/2024
3/18/2024,293.9933,3/18/2024
3/19/2024,286.75302,3/19/2024
3/20/2024,279.8322,3/20/2024
3/21/2024,273.21597,3/21/2024
3/22/2024,266.89032,3/22/2024
3/25/2024,260.84195,3/25/2024
3/26/2024,255.05844,3/26/2024
3/27/2024,249.52794,3/27/2024
3/28/2024,244.23917,3/28/2024
3/29/2024,239.18147,
4/1/2024,234.34479,4/1/2024
4/2/2024,229.71947,4/2/2024
4/3/2024,225.29623,4/3/2024
4/4/2024,221.06639,4/4/2024
4/5/2024,217.02158,4/5/2024
4/8/2024,213.15381,4/8/2024
4/9/2024,209.45544,4/9/2024
4/10/2024,205.91919,4/10/2024
4/11/2024,202.53809,4/11/2024
4/12/2024,199.30544,4/12/2024
4/15/2024,196.21494,4/15/2024
4/16/2024,193.26047,4/16/2024
4/17/2024,190.43616,4/17/2024
4/18/2024,187.73637,4/18/2024
4/19/2024,185.15579,4/19/2024
4/22/2024,182.68927,4/22/2024
4/23/2024,180.3319,4/23/2024
4/24/2024,178.07893,4/24/2024
4/25/2024,175.92584,4/25/2024
4/26/2024,173.86836,4/26/2024
4/29/2024,171.90227,4/29/2024
4/30/2024,170.02368,4/30/2024
5/1/2024,168.22873,5/1/2024
5/2/2024,166.51378,5/2/2024
5/3/2024,164.87537,5/3/2024
5/6/2024,163.31012,5/6/2024
5/7/2024,161.81487,5/7/2024
5/8/2024,160.3865,5/8/2024
5/9/2024,159.02213,5/9/2024
5/10/2024,157.7189,5/10/2024
5/13/2024,156.47415,5/13/2024
5/14/2024,155.28528,5/14/2024
5/15/2024,154.14983,5/15/2024
5/16/2024,153.06544,5/16/2024
5/17/2024,152.02988,5/17/2024
5/20/2024,151.04094,5/20/2024
5/21/2024,150.09659,5/21/2024
5/22/2024,149.19481,5/22/2024
5/23/2024,148.33371,5/23/2024
5/24/2024,147.51149,5/24/2024
5/27/2024,146.72644,
5/28/2024,145.97688,5/28/2024
,,5/29/2024
,,5/30/2024
