Date,Real Adj Close,ARIMA-GARCH Forecast,GRU Forecast,,,,,,,,
3/1/2024,502.299988,210.5180617,489.88678,,,,,,,,
3/4/2024,498.190002,210.4653215,488.42148,,,,,,,,
3/5/2024,490.220001,210.6770481,487.8196,,,,,,,,
3/6/2024,496.089996,210.6036823,487.45547,,,,,Statistics,Real Data,ARIMA-GARCH Forecast,GRU Forecast
3/7/2024,512.190002,210.8142265,487.2603,,,,,Mean,485.6965094,212.6107345,484.6987952
3/8/2024,505.950012,210.7430348,487.05295,,,,,Standard Error,2.875910666,0.15982517,0.173658043
3/11/2024,483.589996,210.9513757,486.80322,,,,,Median,491.350006,212.5984275,484.08276
3/12/2024,499.75,210.8823722,486.5621,,,,,Mode,#N/A,#N/A,#N/A
3/13/2024,495.570007,211.0885419,486.34396,,,,,Standard Deviation,22.82683324,1.268572955,1.378367986
3/14/2024,491.829987,211.0216926,486.14682,,,,,Sample Variance,521.0643159,1.609277343,1.899898306
3/15/2024,484.100006,211.225725,485.96536,,,,,Kurtosis,-0.079848557,-1.193884676,2.847212346
3/18/2024,496.980011,211.1609963,485.79602,,,,,Skewness,-0.567019961,0.001294391,1.737867769
3/19/2024,496.23999,211.3629247,485.6382,,,,,Range,97.170014,4.3322994,6.26981
3/20/2024,505.519989,211.3002835,485.49158,,,,,Minimum,430.170013,210.4653215,483.61697
3/21/2024,507.76001,211.5001407,485.35544,,,,,Maximum,527.340027,214.7976209,489.88678
3/22/2024,509.579987,211.4395544,485.22913,,,,,Sum,30598.88009,13394.47627,30536.0241
3/25/2024,503.019989,211.6373728,485.11182,,,,,Count,63,63,63
3/26/2024,495.890015,211.5788094,485.00278,,,,,,,,
3/27/2024,493.859985,211.7746208,484.90146,,,,,,,,
3/28/2024,485.579987,211.7180487,484.8073,,,,,,,,
4/1/2024,491.350006,211.9118843,484.71988,,,,,,,,
4/2/2024,497.369995,211.8572726,484.63858,,,,,,,,
4/3/2024,506.73999,212.0491632,484.56302,,,,,,,,
4/4/2024,510.920013,211.9964812,484.49283,,,,,,,,
4/5/2024,527.340027,212.1864572,484.42758,,,,,,,,
4/8/2024,519.25,212.1356748,484.3669,,,,,,,,
4/9/2024,516.900024,212.3237661,484.31046,,,,,,,,
4/10/2024,519.830017,212.2748537,484.2581,,,,,,,,
4/11/2024,523.159973,212.4610896,484.20932,,,,,,,,
4/12/2024,511.899994,212.414018,484.164,,,,,,,,
4/15/2024,500.230011,212.5984275,484.1219,,,,,,,,
4/16/2024,499.76001,212.5531681,484.08276,,,,,,,,
4/17/2024,494.170013,212.7357796,484.04633,,,,,,,,
4/18/2024,501.799988,212.692304,484.01242,,,,,,,,
4/19/2024,481.070007,212.8731457,483.98096,,,,,,,,
4/22/2024,481.730011,212.8314261,483.95163,,,,,,,,
4/23/2024,496.100006,213.0105255,483.9244,,,,,,,,
4/24/2024,493.5,212.9705346,483.89905,,,,,,,,
4/25/2024,441.380005,213.1479188,483.87552,,,,,,,,
4/26/2024,443.290009,213.1096297,483.8536,,,,,,,,
4/29/2024,432.619995,213.2853255,483.83322,,,,,,,,
4/30/2024,430.170013,213.2487115,483.8142,,,,,,,,
5/1/2024,439.190002,213.4227453,483.7966,,,,,,,,
5/2/2024,441.679993,213.3877803,483.78018,,,,,,,,
5/3/2024,451.959991,213.560178,483.765,,,,,,,,
5/6/2024,465.679993,213.5268363,483.75082,,,,,,,,
5/7/2024,468.23999,213.6976233,483.7376,,,,,,,,
5/8/2024,472.600006,213.6658797,483.72537,,,,,,,,
5/9/2024,475.420013,213.8350813,483.71396,,,,,,,,
5/10/2024,476.200012,213.8049107,483.70328,,,,,,,,
5/13/2024,468.01001,213.9725515,483.69342,,,,,,,,
5/14/2024,471.850006,213.9439295,483.68423,,,,,,,,
5/15/2024,481.540009,214.1100338,483.6757,,,,,,,,
5/16/2024,473.230011,214.0829362,483.66776,,,,,,,,
5/17/2024,471.910004,214.2475281,483.66034,,,,,,,,
5/20/2024,468.839996,214.2219311,483.65347,,,,,,,,
5/21/2024,464.630005,214.3850341,483.64713,,,,,,,,
5/22/2024,467.779999,214.3609144,483.6411,,,,,,,,
5/23/2024,465.779999,214.5225517,483.63553,,,,,,,,
5/24/2024,478.220001,214.4998861,483.63037,,,,,,,,
5/28/2024,479.920013,214.6600807,483.62564,,,,,,,,
5/29/2024,474.359985,214.6388466,483.6212,,,,,,,,
5/30/2024,467.049988,214.7976209,483.61697,,,,,,,,
