Date,Real Adj. Close,ARIMA-GARCH Forecast,GRU Forecast,,,,,,,,,
3/1/2024,414.751892,277.3374435,412.61093,,,,,,,,,
3/4/2024,414.172974,278.2081936,412.5961,,,,,,,,,
3/5/2024,401.925018,277.798426,411.83636,,,,,,,,,
3/6/2024,401.366028,278.4038513,411.70245,,,,,,,,,
3/7/2024,408.403381,278.068078,411.66315,,,,,,Statistics,Real Data,ARIMA-GARCH Forecast,GRU Forecast
3/8/2024,405.488617,278.6384933,411.70847,,,,,,Mean,415.2309145,281.6476058,411.2951716
3/11/2024,403.791656,278.3293514,411.69836,,,,,,Standard Error,1.279222254,0.288803756,0.040978789
3/12/2024,414.532288,278.8753534,411.6664,,,,,,Median,415.670258,281.6731341,411.18304
3/13/2024,414.352631,278.5896583,411.6245,,,,,,Mode,#N/A,#N/A,#N/A
3/14/2024,424.454407,279.1129143,411.58896,,,,,,Standard Deviation,10.15351187,2.292308751,0.325259052
3/15/2024,415.670258,278.8493315,411.55884,,,,,,Sample Variance,103.0938033,5.254679412,0.105793451
3/18/2024,416.568634,279.3510821,411.53198,,,,,,Kurtosis,-0.489163564,-1.159064321,6.673300909
3/19/2024,420.651276,279.1084164,411.5061,,,,,,Skewness,-0.482312742,-0.025395912,2.271451127
3/20/2024,424.464386,279.5898216,411.48096,,,,,,Range,41.890991,8.1259588,1.59491
3/21/2024,428.596924,279.3669453,411.45663,,,,,,Minimum,388.628998,277.3374435,411.01602
3/22/2024,427.968048,279.8291019,411.43356,,,,,,Maximum,430.519989,285.4634023,412.61093
3/25/2024,422.098633,279.6249481,411.4116,,,,,,Sum,26159.54761,17743.79917,25911.59581
3/26/2024,420.890808,280.068894,411.3907,,,,,,Count,63,63,63
3/27/2024,420.671204,279.8824532,411.3708,,,,,,,,,
3/28/2024,419.962494,280.3091702,411.35178,,,,,,,,,
4/1/2024,423.805573,280.1394874,411.33368,,,,,,,,,
4/2/2024,420.681213,280.5499044,411.31647,,,,,,,,,
4/3/2024,419.692993,280.3960761,411.30002,,,,,,,,,
4/4/2024,417.127625,280.7910719,411.2844,,,,,,,,,
4/5/2024,424.753845,280.6522434,411.26947,,,,,,,,,
4/8/2024,423.825531,281.0326493,411.2553,,,,,,,,,
4/9/2024,425.512482,280.9080118,411.24176,,,,,,,,,
4/10/2024,422.497925,281.2746146,411.22885,,,,,,,,,
4/11/2024,427.159515,281.1634031,411.21655,,,,,,,,,
4/12/2024,421.140381,281.5169469,411.2048,,,,,,,,,
4/15/2024,412.895264,281.4184374,411.19363,,,,,,,,,
4/16/2024,413.833557,281.7596263,411.18304,,,,,,,,,
4/17/2024,411.09848,281.6731341,411.1729,,,,,,,,,
4/18/2024,403.542114,282.0026341,411.16327,,,,,,,,,
4/19/2024,398.401398,281.9275113,411.15405,,,,,,,,,
4/22/2024,400.238068,282.2459527,411.14526,,,,,,,,,
4/23/2024,406.836182,282.1815862,411.13693,,,,,,,,,
4/24/2024,408.323486,282.4895653,411.129,,,,,,,,,
4/25/2024,398.321533,282.4353753,411.1214,,,,,,,,,
4/26/2024,405.58844,282.7334559,411.11417,,,,,,,,,
4/29/2024,401.525757,282.6888938,411.1072,,,,,,,,,
4/30/2024,388.628998,282.9776098,411.10062,,,,,,,,,
5/1/2024,394.228912,282.9421563,411.09436,,,,,,,,,
5/2/2024,397.123688,283.2220125,411.0884,,,,,,,,,
5/3/2024,405.927826,283.1951767,411.08273,,,,,,,,,
5/6/2024,412.795441,283.4666508,411.07724,,,,,,,,,
5/7/2024,408.602997,283.447968,411.0721,,,,,,,,,
5/8/2024,409.800842,283.7115119,411.0672,,,,,,,,,
5/9/2024,411.577637,283.7005426,411.0625,,,,,,,,,
5/10/2024,413.993256,283.9565839,411.05804,,,,,,,,,
5/13/2024,412.975098,283.9529121,411.0538,,,,,,,,,
5/14/2024,415.809998,284.2018553,411.0497,,,,,,,,,
5/15/2024,423.079987,284.2050876,411.04587,,,,,,,,,
5/16/2024,420.98999,284.4473153,411.0422,,,,,,,,,
5/17/2024,420.209991,284.4570796,411.03867,,,,,,,,,
5/20/2024,425.339996,284.6929539,411.03534,,,,,,,,,
5/21/2024,429.040009,284.708898,411.03217,,,,,,,,,
5/22/2024,430.519989,284.9387614,411.02914,,,,,,,,,
5/23/2024,427,284.960552,411.02628,,,,,,,,,
5/24/2024,430.160004,285.1847287,411.02344,,,,,,,,,
5/28/2024,430.320007,285.2120507,411.02087,,,,,,,,,
5/29/2024,429.170013,285.4308472,411.01834,,,,,,,,,
5/30/2024,414.670013,285.4634023,411.01602,,,,,,,,,
