age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,2,2,3,2,yes,no,1,5,5,487,2,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,no
39,3,1,4,2,no,no,2,5,5,346,4,999,0,3,1.1,93.994,-36.4,4.855,5191,no
25,3,2,4,2,yes,no,2,6,3,227,1,999,0,3,1.4,94.465,-41.8,4.962,5228.1,no
47,1,2,5,2,yes,no,1,11,1,58,1,999,0,3,-0.1,93.2,-42,4.191,5195.8,no
32,3,1,5,2,no,no,1,9,4,128,3,999,2,2,-1.1,94.199,-37.5,0.884,4963.6,no
32,1,1,5,2,yes,no,1,9,1,290,4,999,0,3,-1.1,94.199,-37.5,0.879,4963.6,no
41,4,2,5,3,yes,no,1,11,1,44,2,999,0,3,-0.1,93.2,-42,4.191,5195.8,no
31,3,3,6,2,no,no,1,11,2,68,1,999,1,2,-0.1,93.2,-42,4.153,5195.8,no
35,2,2,3,3,no,no,2,5,4,170,1,999,0,3,1.1,93.994,-36.4,4.855,5191,no
25,3,1,2,3,yes,no,1,7,4,301,1,999,0,3,1.4,93.918,-42.7,4.958,5228.1,no
36,5,1,1,2,no,no,1,7,4,148,1,999,0,3,1.4,93.918,-42.7,4.968,5228.1,no
36,1,2,4,2,no,no,2,5,3,97,2,999,0,3,1.1,93.994,-36.4,4.859,5191,no
47,2,2,1,2,yes,no,2,6,4,211,2,999,0,3,1.4,94.465,-41.8,4.958,5228.1,no
29,1,1,4,2,no,no,1,5,5,553,2,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,no
27,3,1,5,2,no,no,1,7,3,698,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,no
44,1,3,5,2,no,no,1,7,3,191,6,999,0,3,1.4,93.918,-42.7,4.957,5228.1,no
46,1,3,5,2,yes,no,2,7,1,59,4,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
45,4,2,5,3,yes,yes,1,8,1,38,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
50,2,2,1,2,no,yes,1,7,2,849,1,999,0,3,1.4,93.918,-42.7,4.961,5228.1,yes
55,3,2,2,3,yes,no,1,7,2,326,6,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
39,6,3,4,2,no,no,1,3,1,222,1,12,2,1,-1.8,93.369,-34.8,0.639,5008.7,yes
29,6,1,5,2,yes,yes,1,8,3,626,3,999,0,3,1.4,93.444,-36.1,4.967,5228.1,no
40,7,2,4,2,no,yes,1,8,3,119,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
44,6,2,6,3,yes,no,2,5,5,388,7,999,0,3,1.1,93.994,-36.4,4.864,5191,no
38,6,2,6,2,yes,no,1,8,1,479,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,yes
36,6,3,6,2,no,no,2,5,3,446,1,999,0,3,1.1,93.994,-36.4,4.856,5191,no
28,2,2,2,3,no,no,1,5,1,68,2,999,1,2,-1.8,92.893,-46.2,1.299,5099.1,no
47,1,1,8,3,no,no,2,5,4,127,1,999,0,3,1.1,93.994,-36.4,4.86,5191,no
34,1,2,5,2,no,no,1,8,2,109,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
38,6,2,5,2,yes,yes,1,3,2,113,1,999,1,2,-1.8,92.843,-50,1.687,5099.1,no
33,3,2,4,3,yes,no,2,6,1,393,3,999,0,3,1.4,94.465,-41.8,4.865,5228.1,no
51,6,1,5,2,no,no,1,6,5,151,2,999,0,3,-2.9,92.963,-40.8,1.268,5076.2,no
30,2,1,1,3,yes,no,2,6,2,256,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,no
48,6,2,5,2,no,no,1,8,4,42,7,999,0,3,1.4,93.444,-36.1,4.962,5228.1,no
