age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
39,3,2,3,2,yes,no,1,11,2,219,3,999,0,3,-0.1,93.2,-42,4.153,5195.8,no
45,2,2,1,3,yes,no,1,8,2,528,7,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
33,1,2,5,3,yes,yes,1,8,5,94,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
36,5,1,5,2,yes,no,1,11,1,200,2,4,1,1,-0.1,93.2,-42,4.191,5195.8,no
27,9,2,4,2,yes,no,2,5,3,54,1,999,0,3,-1.8,93.876,-40,0.672,5008.7,no
42,1,1,5,3,yes,yes,1,7,5,115,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,no
38,7,2,5,2,no,no,1,8,3,157,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
44,1,2,5,2,yes,no,2,6,3,25,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,no
23,9,1,4,2,no,no,1,5,4,361,2,999,0,3,-1.8,92.893,-46.2,1.27,5099.1,no
50,2,3,4,3,no,yes,2,5,1,200,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
54,6,2,4,3,yes,yes,2,7,4,193,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
38,6,3,6,2,no,no,2,6,4,128,2,999,0,3,1.4,94.465,-41.8,4.958,5228.1,no
31,3,2,3,2,yes,no,2,6,1,277,1,999,0,3,-2.9,92.963,-40.8,1.266,5076.2,no
44,1,2,4,3,no,no,1,8,5,93,8,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
26,1,1,4,2,yes,yes,1,7,3,668,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
35,1,2,5,2,yes,no,2,9,3,7,1,999,0,3,-1.1,94.199,-37.5,0.876,4963.6,no
31,3,3,4,2,yes,no,1,7,1,522,1,999,0,3,1.4,93.918,-42.7,4.96,5228.1,no
56,1,2,8,2,yes,no,1,8,1,476,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
