"age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","False_prediction_probability","True_prediction_probability"
"39","3","2","3","2","True","False","1","11","2","3","999","0","3","-0.1","93.2","-42.0","4.153","5195.8","False","0.9000702105080858","0.09992978949191388"
"45","2","2","1","3","True","False","1","8","2","7","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.937534014886064","0.06246598511393644"
"33","1","2","5","3","True","True","1","8","5","1","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.9358222434503279","0.0641777565496718"
"36","5","1","5","2","True","False","1","11","1","2","4","1","1","-0.1","93.2","-42.0","4.191","5195.8","False","0.9011652025744195","0.09883479742558024"
"27","9","2","4","2","True","False","2","5","3","1","999","0","3","-1.8","93.876","-40.0","0.672","5008.7","True","0.4031548272627477","0.5968451727372522"
"42","1","1","5","3","True","True","1","7","5","1","999","0","3","1.4","93.918","-42.7","4.957","5228.1","False","0.9370227110967803","0.06297728890321974"
"38","7","2","5","2","False","False","1","8","3","1","999","0","3","1.4","93.444","-36.1","4.965","5228.1","False","0.9185278496410204","0.0814721503589795"
"44","1","2","5","2","True","False","2","6","3","1","999","0","3","1.4","94.465","-41.8","4.864","5228.1","False","0.9282325789935082","0.0717674210064917"
"23","9","1","4","2","False","False","1","5","4","2","999","0","3","-1.8","92.893","-46.2","1.27","5099.1","False","0.8590769801865015","0.14092301981349797"
"50","2","3","4","3","False","True","2","5","1","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9038832148749972","0.0961167851250023"
"54","6","2","4","3","True","True","2","7","4","1","999","0","3","1.4","93.918","-42.7","4.962","5228.1","False","0.9136635158004569","0.08633648419954268"
"38","6","3","6","2","False","False","2","6","4","2","999","0","3","1.4","94.465","-41.8","4.958","5228.1","False","0.9097575408039176","0.09024245919608248"
"31","3","2","3","2","True","False","2","6","1","1","999","0","3","-2.9","92.963","-40.8","1.266","5076.2","True","0.5053328385685808","0.49466716143141914"
"44","1","2","4","3","False","False","1","8","5","8","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.944921334776173","0.05507866522382742"
"26","1","1","4","2","True","True","1","7","3","1","999","0","3","1.4","93.918","-42.7","4.962","5228.1","False","0.9286287065800976","0.07137129341990227"
"35","1","2","5","2","True","False","2","9","3","1","999","0","3","-1.1","94.199","-37.5","0.876","4963.6","True","0.525247478023887","0.47475252197611284"
"31","3","3","4","2","True","False","1","7","1","1","999","0","3","1.4","93.918","-42.7","4.96","5228.1","False","0.9235789617653513","0.07642103823464859"
"56","1","2","8","2","True","False","1","8","1","2","999","0","3","1.4","93.444","-36.1","4.965","5228.1","False","0.8712547202352716","0.12874527976472833"
"57","6","2","6","2","True","False","2","5","1","2","999","0","3","1.1","93.994","-36.4","4.858","5191.0","False","0.8579225942431752","0.14207740575682448"
"46","8","2","1","2","False","False","2","5","3","1","999","0","3","1.1","93.994","-36.4","4.858","5191.0","False","0.9098055817790588","0.09019441822094115"
"49","1","2","3","3","False","True","1","8","4","3","999","0","3","1.4","93.444","-36.1","4.968","5228.1","False","0.8899079425172972","0.1100920574827027"
"74","10","2","5","2","True","True","1","8","3","3","999","0","3","-2.9","92.201","-31.4","0.854","5076.2","True","0.5206850874675722","0.47931491253242775"
"31","2","1","3","3","False","True","2","7","4","3","999","0","3","1.4","93.918","-42.7","4.962","5228.1","False","0.904179455403408","0.09582054459659176"
"38","6","1","6","3","True","False","2","6","5","5","999","0","3","1.4","94.465","-41.8","4.967","5228.1","False","0.9268166909690649","0.07318330903093552"
"37","4","2","5","3","True","False","1","11","1","1","999","0","3","-0.1","93.2","-42.0","4.191","5195.8","False","0.8865487307929374","0.11345126920706208"
"56","1","2","3","2","False","True","1","5","4","2","999","1","2","-1.8","92.893","-46.2","1.327","5099.1","False","0.8681924827911084","0.13180751720889097"
"35","4","1","5","2","False","False","1","7","1","3","999","0","3","1.4","93.918","-42.7","4.96","5228.1","False","0.9084824869054273","0.09151751309457243"
"46","1","2","4","3","False","False","1","8","5","3","999","0","3","1.4","93.444","-36.1","4.966","5228.1","False","0.9116844752574964","0.08831552474250323"
"30","2","2","3","2","False","False","2","6","4","3","999","0","3","1.4","94.465","-41.8","4.961","5228.1","False","0.9048940154810083","0.09510598451899155"
"54","7","1","3","2","True","False","2","5","1","3","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9038641290574637","0.09613587094253577"
